stock,MAE,RMSE,MAPE,R2,comparison_model,MAE_rank,RMSE_rank,MAPE_rank,R2_rank,combined_rank
TCS,264.10353474444656,350.60982327911546,11.186737043439326,0.2356217559745368,BiLSTM,1.0,1.0,1.0,1.0,4.0
TCS,312.29839384839886,416.1660811533295,13.25838111501616,-0.0769449886876021,LSTM,2.0,2.0,2.0,2.0,8.0
TCS,469.51119860300577,599.6222665173234,19.70638550181267,-1.2357109873897385,BiLSTM + Attention,3.0,3.0,3.0,3.0,12.0
TCS,541.4407704058422,685.9698729179864,22.677834731574706,-1.925972516770282,LSTM + Attention,4.0,4.0,4.0,4.0,16.0
Infosys,34.09296193563316,44.03764320236657,2.677033477753004,0.9499942640834071,BiLSTM,1.0,1.0,1.0,1.0,4.0
Infosys,37.2123024768999,47.68724756442535,2.964009468921297,0.9413623983499194,LSTM,2.0,2.0,2.0,2.0,8.0
Infosys,125.83499304836532,153.64988107958484,10.052102956044976,0.3912539684178451,BiLSTM + Attention,3.0,3.0,3.0,3.0,12.0
Infosys,137.05923327097452,165.39370401410878,11.0072955972883,0.2946419406330376,LSTM + Attention,4.0,4.0,4.0,4.0,16.0
Reliance,20.2107401201802,25.78815528790028,1.44265433506083,0.9032470483883912,BiLSTM,1.0,1.0,1.0,1.0,4.0
Reliance,26.88223269436965,33.7972064542823,1.913882477310263,0.8338175036051952,LSTM,2.0,2.0,2.0,2.0,8.0
Reliance,67.61794650170111,74.29305598910997,4.856888512486764,0.1969915497085044,BiLSTM + Attention,3.0,3.0,3.0,3.0,12.0
Reliance,70.65265483240927,78.11583420344219,5.073463241413486,0.1122272316665701,LSTM + Attention,4.0,4.0,4.0,4.0,16.0
HDFC Bank,15.710935628882904,19.249394570770647,1.785135254536729,0.9613366769672016,LSTM,1.0,1.0,1.0,1.0,4.0
HDFC Bank,16.145971975018902,21.28731923047184,1.937615506977896,0.9527167876004248,BiLSTM,2.0,2.0,2.0,2.0,8.0
HDFC Bank,46.10426305955456,59.788092503780334,5.589433940384205,0.6270123739716396,BiLSTM + Attention,3.0,3.0,3.0,3.0,12.0
HDFC Bank,53.056488037109375,67.8801982731136,6.468829209303201,0.5192146420395216,LSTM + Attention,4.0,4.0,4.0,4.0,16.0
Apple,9.954487210228327,12.609582314209216,3.481927070351061,0.7559900105504673,BiLSTM,1.0,1.0,1.0,1.0,4.0
Apple,10.151561613242947,13.165603089212947,3.561362829369251,0.7339962738930954,LSTM,2.0,2.0,2.0,2.0,8.0
Apple,26.71443297371032,31.234396157517786,9.456956350877032,-0.4971745384289892,LSTM + Attention,3.0,3.0,3.0,3.0,12.0
Apple,34.579529595753506,39.15573450204218,12.226118466208971,-1.3528647010016592,BiLSTM + Attention,4.0,4.0,4.0,4.0,16.0
Microsoft,14.783156188827064,21.08592091218779,3.406960179407001,0.8423441246919754,LSTM,1.0,1.0,1.0,1.0,4.0
Microsoft,18.766446786097795,22.275247665018934,4.19351830026027,0.8240577683087829,BiLSTM,2.0,2.0,2.0,2.0,8.0
Microsoft,33.98871797964392,42.0312990651099,8.125481500783918,0.3735727528901754,LSTM + Attention,3.0,3.0,3.0,3.0,12.0
Microsoft,37.08232669906312,42.405211327026926,8.558558052329095,0.3623777297029988,BiLSTM + Attention,4.0,4.0,4.0,4.0,16.0
Tesla,20.92809773285549,26.055799134250123,5.1054202324822935,0.6039791789894808,LSTM,1.0,1.0,1.0,1.0,4.0
Tesla,31.0986795576792,36.57139057379349,7.41999724598147,0.2198247428111871,BiLSTM,2.0,2.0,2.0,2.0,8.0
Tesla,51.44203210255457,59.75436556011545,12.362731652703411,-1.0828044839159312,LSTM + Attention,3.0,3.0,3.0,3.0,12.0
Tesla,94.07879384358723,100.8998422015106,22.58671816440976,-4.93868375178949,BiLSTM + Attention,4.0,4.0,4.0,4.0,16.0
